GOterm	NCBITaxon:10090	NCBITaxon:33090	NCBITaxon:3702	NCBITaxon:40674
GO:0000295	1	1	1	1
GO:0000296	1	1	1	1
GO:0000297	1	1	1	1
GO:0000298	1	1	1	1
GO:0000301	1	1	1	1
GO:0000302	1	1	1	1
GO:0000303	1	1	1	1
GO:0000304	1	1	1	1
GO:0000305	1	1	1	1
GO:0000306	1	1	1	1
GO:0000307	1	1	1	1
GO:0000308	1	1	1	1
GO:0000309	1	1	1	1
GO:0000310	1	1	1	1
GO:0000311	1	1	1	1
GO:0000312	1	1	1	1
GO:0000313	1	1	1	1
GO:0000314	1	1	1	1
GO:0000315	1	1	1	1
GO:0000316	1	1	1	1
GO:0000319	1	1	1	1
GO:0000320	1	1	1	1
GO:0000321	0	0	0	0
GO:0000322	1	1	1	1
GO:0000323	1	1	1	1
GO:0000324	0	0	0	0
GO:0000325	0	1	1	0
GO:0000326	0	1	1	0
GO:0000327	0	1	1	0
GO:0000328	0	0	0	0
GO:0000329	0	0	0	0
GO:0000330	0	1	1	0
GO:0000331	1	1	1	1
GO:0000332	1	1	1	1
GO:0000333	1	1	1	1
GO:0000334	1	1	1	1
GO:0000335	1	1	1	1
GO:0000336	1	1	1	1
GO:0000337	1	1	1	1
GO:0000338	1	1	1	1
GO:0000339	1	1	1	1
GO:0000340	1	1	1	1
GO:0000341	1	1	1	1
GO:0000342	1	1	1	1
GO:0000343	1	1	1	1
GO:0000344	1	1	1	1
GO:0000345	0	0	0	0
GO:0000346	1	1	1	1
GO:0000347	1	1	1	1
GO:0000348	1	1	1	1
GO:0000349	1	1	1	1
GO:0000350	1	1	1	1
GO:0000352	1	1	1	1
GO:0000353	1	1	1	1
GO:0000354	1	1	1	1
GO:0000365	1	1	1	1
GO:0000366	1	1	1	1
GO:0000372	1	1	1	1
GO:0000373	1	1	1	1
GO:0000374	1	1	1	1
GO:0000375	1	1	1	1
GO:0000376	1	1	1	1
GO:0000377	1	1	1	1
GO:0000378	1	1	1	1
GO:0000379	1	1	1	1
GO:0000380	1	1	1	1
GO:0000381	1	1	1	1
GO:0000384	1	1	1	1
GO:0000386	1	1	1	1
GO:0000387	1	1	1	1
GO:0000388	1	1	1	1
GO:0000389	1	1	1	1
GO:0000390	1	1	1	1
GO:0000393	1	1	1	1
GO:0000394	1	1	1	1
GO:0000395	1	1	1	1
GO:0000398	1	1	1	1
GO:0000399	1	1	1	1
GO:0000400	1	1	1	1
GO:0000401	1	1	1	1
GO:0000402	1	1	1	1
GO:0000403	1	1	1	1
GO:0000404	1	1	1	1
GO:0000405	1	1	1	1
GO:0000406	1	1	1	1
GO:0000407	1	1	1	1
GO:0000408	1	1	1	1
GO:0000409	1	1	1	1
GO:0000410	1	1	1	1
GO:0000411	1	1	1	1
GO:0000412	1	1	1	1
GO:0000413	1	1	1	1
GO:0000414	1	1	1	1
GO:0000415	1	1	1	1
GO:0000416	1	1	1	1
GO:0000417	1	1	1	1
GO:0000418	1	1	1	1
GO:0000419	1	1	1	1
GO:0000421	1	1	1	1
GO:0000422	1	1	1	1
GO:0000423	1	1	1	1
GO:0000424	1	1	1	1
GO:0000425	1	1	1	1
GO:0000426	0	0	0	0
GO:0000427	1	1	1	1
GO:0000428	1	1	1	1
GO:0000429	1	1	1	1
GO:0000430	1	1	1	1
GO:0000431	1	1	1	1
GO:0000432	1	1	1	1
GO:0000433	1	1	1	1
