inbred,aspect,db_object_symbol,rc,num_gold,num_pred,evalType,source
B73v3,C,GRMZM2G477325,0.5,4,22,CAFA,GOMAP
B73v3,C,GRMZM2G020091,1,4,13,CAFA,GOMAP
B73v3,C,GRMZM2G099984,0.5,4,22,CAFA,GOMAP
B73v3,C,GRMZM2G066870,0.5,4,22,CAFA,GOMAP
B73v3,C,GRMZM2G034302,1,4,31,CAFA,GOMAP
B73v3,C,GRMZM2G104394,0.375,8,33,CAFA,GOMAP
B73v3,C,GRMZM2G040638,0.25,8,18,CAFA,GOMAP
B73v3,C,GRMZM2G135108,0.25,8,27,CAFA,GOMAP
B73v3,P,GRMZM2G073054,0.538461538461538,26,36,CAFA,GOMAP
B73v3,P,GRMZM2G347043,0.80327868852459,61,117,CAFA,GOMAP
B73v3,P,GRMZM5G883855,0.576271186440678,59,92,CAFA,GOMAP
B73v3,P,GRMZM2G375504,1,30,87,CAFA,GOMAP
B73v3,P,GRMZM2G026117,1,28,81,CAFA,GOMAP
B73v3,P,GRMZM2G044074,1,28,39,CAFA,GOMAP
B73v3,P,GRMZM2G156599,1,8,68,CAFA,GOMAP
B73v3,P,GRMZM2G300408,1,18,48,CAFA,GOMAP
B73v3,P,GRMZM2G038032,0.9,10,275,CAFA,GOMAP
B73v3,P,GRMZM2G059037,1,15,89,CAFA,GOMAP
B73v3,P,GRMZM2G103773,0.837837837837838,37,224,CAFA,GOMAP
B73v3,F,GRMZM2G441753,0,0,0,CAFA,GOMAP
B73v3,P,GRMZM2G013657,0.230769230769231,13,25,CAFA,GOMAP
B73v3,P,GRMZM2G091819,0.5,46,108,CAFA,GOMAP
B73v3,F,GRMZM2G179264,0,6,2,CAFA,GOMAP
B73v3,F,GRMZM2G114739,1,7,16,CAFA,GOMAP
B73v3,F,GRMZM2G034302,1,17,61,CAFA,GOMAP
B73v3,F,GRMZM2G030299,0.166666666666667,6,11,CAFA,GOMAP
B73v3,F,GRMZM2G027835,1,5,5,CAFA,GOMAP
B73v3,F,GRMZM2G068506,1,6,6,CAFA,GOMAP
B73v3,F,GRMZM2G429899,1,6,6,CAFA,GOMAP
B73v3,F,GRMZM2G141399,1,6,13,CAFA,GOMAP
B73v3,P,GRMZM2G027835,1,26,46,CAFA,GOMAP
B73v3,P,GRMZM2G030299,0.192307692307692,26,16,CAFA,GOMAP
B73v3,P,GRMZM2G360681,0.428571428571429,14,40,CAFA,GOMAP
B73v3,P,GRMZM25015605,0,0,0,CAFA,GOMAP
B73v3,P,GRMZM2G153369,0.185185185185185,27,9,CAFA,GOMAP
B73v3,P,GRMZM2G079306,0.259259259259259,27,24,CAFA,GOMAP
B73v3,P,GRMZM2G179462,0.259259259259259,27,14,CAFA,GOMAP
B73v3,P,GRMZM2G477325,0.62962962962963,27,25,CAFA,GOMAP
B73v3,P,GRMZM2G020091,0.0454545454545455,22,27,CAFA,GOMAP
B73v3,P,GRMZM2G099984,0.185185185185185,27,8,CAFA,GOMAP
B73v3,P,GRMZM2G066870,0.259259259259259,27,14,CAFA,GOMAP
B73v3,P,GRMZM2G102499,0.625,16,354,CAFA,GOMAP
B73v3,P,GRMZM2G068973,0.735294117647059,34,152,CAFA,GOMAP
B73v3,P,GRMZM2G312201,0.117647058823529,34,36,CAFA,GOMAP
B73v3,P,GRMZM2G178074,1,4,89,CAFA,GOMAP
B73v3,C,GRMZM2G074158,1,10,12,CAFA,GOMAP
B73v3,C,GRMZM5G836190,0.75,4,34,CAFA,GOMAP
B73v3,C,GRMZM2G062788,0.9,10,10,CAFA,GOMAP
B73v3,C,GRMZM5G884466,1,9,14,CAFA,GOMAP
B73v3,C,GRMZM2G083950,0.615384615384615,13,12,CAFA,GOMAP
B73v3,C,GRMZM2G119691,0,0,0,CAFA,GOMAP
B73v3,C,GRMZM2G030299,0.888888888888889,9,11,CAFA,GOMAP
B73v3,C,GRMZM5G841619,1,8,12,CAFA,GOMAP
B73v3,C,GRMZM2G038013,1,14,33,CAFA,GOMAP
B73v3,P,GRMZM2G118250,0.421052631578947,38,67,CAFA,GOMAP
B73v3,C,GRMZM2G132021,0,0,0,CAFA,GOMAP
B73v3,C,GRMZM2G120178,0.9,10,19,CAFA,GOMAP
B73v3,C,GRMZM2G083459,0.9,10,22,CAFA,GOMAP
B73v3,P,GRMZM2G104394,0.466666666666667,30,133,CAFA,GOMAP
B73v3,P,GRMZM2G040638,0.2,30,22,CAFA,GOMAP
B73v3,P,GRMZM2G135108,0.3,30,185,CAFA,GOMAP
B73v3,P,GRMZM5G881887,0,7,51,CAFA,GOMAP
B73v3,P,GRMZM2G086773,0,7,12,CAFA,GOMAP
B73v3,P,GRMZM2G077206,0.8,5,120,CAFA,GOMAP
B73v3,P,GRMZM2G421491,0.6,5,105,CAFA,GOMAP
B73v3,P,GRMZM2G113203,0.2,5,16,CAFA,GOMAP
B73v3,P,GRMZM2G449033,0.647887323943662,71,72,CAFA,GOMAP
B73v3,P,GRMZM2G036340,0.612244897959184,49,67,CAFA,GOMAP
B73v3,P,GRMZM2G093195,1,26,79,CAFA,GOMAP
B73v3,P,GRMZM2G026930,0.6,10,27,CAFA,GOMAP
B73v3,P,GRMZM2G016241,1,10,145,CAFA,GOMAP
B73v3,P,GRMZM2G155329,1,10,49,CAFA,GOMAP
B73v3,P,GRMZM2G422750,0.130434782608696,23,17,CAFA,GOMAP
B73v3,P,GRMZM2G035688,0.4,45,24,CAFA,GOMAP
B73v3,P,GRMZM2G098643,0.857142857142857,21,195,CAFA,GOMAP
B73v3,P,GRMZM2G117329,0.25,16,13,CAFA,GOMAP
B73v3,P,GRMZM2G384293,0.75,12,136,CAFA,GOMAP
B73v3,P,GRMZM2G119691,0.714285714285714,35,51,CAFA,GOMAP
B73v3,P,GRMZM2G136559,0,7,47,CAFA,GOMAP
B73v3,P,GRMZM5G884466,0.875,40,51,CAFA,GOMAP
B73v3,P,GRMZM2G155662,0.0434782608695652,23,120,CAFA,GOMAP
B73v3,P,GRMZM5G844562,1,17,64,CAFA,GOMAP
B73v3,P,GRMZM2G347056,0.529411764705882,17,56,CAFA,GOMAP
B73v3,P,AC196475.3_FG004,1,17,67,CAFA,GOMAP
B73v3,P,GRMZM2G393334,0.647058823529412,17,73,CAFA,GOMAP
B73v3,P,GRMZM2G165390,1,6,102,CAFA,GOMAP
B73v3,P,GRMZM2G151227,0.285714285714286,21,70,CAFA,GOMAP
B73v3,F,GRMZM2G081554,1,4,17,CAFA,GOMAP
B73v3,P,GRMZM2G179264,0.6,15,44,CAFA,GOMAP
B73v3,P,GRMZM5G840560,0.227272727272727,22,103,CAFA,GOMAP
B73v3,P,GRMZM2G397687,0,27,3,CAFA,GOMAP
B73v3,P,GRMZM2G307119,0.708333333333333,24,108,CAFA,GOMAP
B73v3,P,GRMZM2G140633,0.230769230769231,26,43,CAFA,GOMAP
B73v3,P,GRMZM2G446858,0.755102040816326,49,91,CAFA,GOMAP
B73v3,P,GRMZM2G056373,0.125,8,12,CAFA,GOMAP
B73v3,P,GRMZM2G121456,0.125,8,19,CAFA,GOMAP
B73v3,P,GRMZM2G114739,1,3,46,CAFA,GOMAP
B73v3,P,GRMZM2G037368,0.727272727272727,11,195,CAFA,GOMAP
B73v3,P,GRMZM2G064732,0.540540540540541,37,451,CAFA,GOMAP
B73v3,P,GRMZM2G315375,0.363636363636364,11,161,CAFA,GOMAP
B73v3,P,GRMZM2G138861,0.5,10,216,CAFA,GOMAP
B73v3,P,GRMZM2G171822,0.95,40,153,CAFA,GOMAP
B73v3,P,GRMZM2G022489,0,0,0,CAFA,GOMAP
B73v3,P,GRMZM2G132794,0.75,8,208,CAFA,GOMAP
B73v3,F,GRMZM2G315375,1,22,41,CAFA,GOMAP
B73v3,P,GRMZM2G160565,0.818181818181818,22,121,CAFA,GOMAP
B73v3,P,GRMZM2G052890,0.727272727272727,22,83,CAFA,GOMAP
B73v3,P,GRMZM2G005066,0.4,10,43,CAFA,GOMAP
B73v3,P,GRMZM2G062396,0,5,24,CAFA,GOMAP
B73v3,P,AC203535.4_FG001,0.7,10,129,CAFA,GOMAP
B73v3,P,GRMZM2G084583,0.6,5,93,CAFA,GOMAP
B73v3,P,GRMZM2G015730,0.0816326530612245,49,19,CAFA,GOMAP
B73v3,P,GRMZM2G057027,0.333333333333333,9,35,CAFA,GOMAP
B73v3,F,GRMZM2G144081,1,34,58,CAFA,GOMAP
B73v3,P,GRMZM2G161299,0.25,16,8,CAFA,GOMAP
B73v3,P,GRMZM2G420119,1,16,63,CAFA,GOMAP
B73v3,P,GRMZM2G419806,1,26,75,CAFA,GOMAP
B73v3,P,GRMZM2G377761,1,14,123,CAFA,GOMAP
B73v3,P,GRMZM5G897926,1,14,87,CAFA,GOMAP
B73v3,F,GRMZM2G422750,0.8,5,4,CAFA,GOMAP
B73v3,F,GRMZM5G829544,1,9,40,CAFA,GOMAP
B73v3,F,GRMZM2G419806,1,5,27,CAFA,GOMAP
B73v3,F,GRMZM2G348452,1,6,18,CAFA,GOMAP
B73v3,P,GRMZM2G032628,0.96,25,78,CAFA,GOMAP
B73v3,P,GRMZM2G068506,1,25,49,CAFA,GOMAP
B73v3,P,GRMZM2G141399,0.92,25,30,CAFA,GOMAP
B73v3,P,GRMZM2G429899,1,25,191,CAFA,GOMAP
B73v3,P,GRMZM2G088753,0.96,25,36,CAFA,GOMAP
B73v3,P,GRMZM2G074158,1,25,65,CAFA,GOMAP
B73v3,P,GRMZM5G829544,0.578947368421053,19,25,CAFA,GOMAP
B73v3,P,GRMZM2G011357,0.25,8,53,CAFA,GOMAP
B73v3,P,GRMZM5G842058,0.666666666666667,12,80,CAFA,GOMAP
B73v3,P,GRMZM2G038013,1,30,39,CAFA,GOMAP
B73v3,P,GRMZM2G087804,1,5,179,CAFA,GOMAP
B73v3,P,GRMZM2G009785,0.833333333333333,6,85,CAFA,GOMAP
B73v3,P,GRMZM2G321778,0,6,7,CAFA,GOMAP
B73v3,P,GRMZM2G353272,0.125,8,3,CAFA,GOMAP
B73v3,F,GRMZM2G063048,0.571428571428571,7,8,CAFA,GOMAP
B73v3,P,GRMZM2G471196,1,6,244,CAFA,GOMAP
B73v3,P,GRMZM2G025812,1,6,63,CAFA,GOMAP
B73v3,F,GRMZM2G085661,0.875,8,17,CAFA,GOMAP
B73v3,F,GRMZM2G167549,0.875,8,17,CAFA,GOMAP
B73v3,F,GRMZM2G172491,0.875,8,17,CAFA,GOMAP
B73v3,F,GRMZM2G063756,0.875,8,17,CAFA,GOMAP
B73v3,P,GRMZM2G062772,0.807692307692308,26,202,CAFA,GOMAP
B73v3,P,GRMZM2G432801,0.275862068965517,29,102,CAFA,GOMAP
B73v3,P,GRMZM5G856653,0.275862068965517,29,130,CAFA,GOMAP
B73v3,P,GRMZM2G157574,0.433333333333333,30,57,CAFA,GOMAP
B73v3,F,GRMZM2G072274,0.2,5,11,CAFA,GOMAP
B73v3,P,GRMZM2G025409,0,28,37,CAFA,GOMAP
B73v3,F,GRMZM2G015730,0.25,4,3,CAFA,GOMAP
B73v3,P,GRMZM2G151529,1,15,44,CAFA,GOMAP
B73v3,F,GRMZM2G151223,0.333333333333333,3,69,CAFA,GOMAP
B73v3,F,GRMZM2G471529,0.333333333333333,3,69,CAFA,GOMAP
B73v3,F,GRMZM2G158252,0.333333333333333,3,69,CAFA,GOMAP
B73v3,P,GRMZM2G441753,0,0,0,CAFA,GOMAP
B73v3,P,GRMZM2G085054,0.2,5,6,CAFA,GOMAP
B73v3,P,GRMZM2G161335,0.8,5,120,CAFA,GOMAP
B73v3,F,GRMZM2G155329,1,4,14,CAFA,GOMAP
B73v3,F,GRMZM5G844562,1,7,18,CAFA,GOMAP
B73v3,F,GRMZM2G026930,1,7,9,CAFA,GOMAP
B73v3,F,GRMZM2G353272,1,1,2,CAFA,GOMAP
B73v3,P,GRMZM2G144081,0.428571428571429,14,58,CAFA,GOMAP
B73v3,F,GRMZM2G311036,0.25,8,8,CAFA,GOMAP
B73v3,F,GRMZM2G336824,0.25,8,8,CAFA,GOMAP
B73v3,F,GRMZM2G023325,0.25,8,10,CAFA,GOMAP
B73v3,F,AC196475.3_FG004,1,6,13,CAFA,GOMAP
B73v3,F,GRMZM2G165390,1,8,16,CAFA,GOMAP
B73v3,C,GRMZM2G146644,0.666666666666667,3,24,CAFA,GOMAP
B73v3,P,GRMZM2G177169,0.210526315789474,38,124,CAFA,GOMAP
B73v3,P,GRMZM2G050697,0,38,41,CAFA,GOMAP
B73v3,P,GRMZM2G005624,0.333333333333333,24,61,CAFA,GOMAP
B73v3,P,GRMZM2G072274,0.366666666666667,30,71,CAFA,GOMAP
B73v3,P,GRMZM2G024973,0.8,10,178,CAFA,GOMAP
B73v3,P,GRMZM2G403620,0,20,45,CAFA,GOMAP
B73v3,P,GRMZM2G174738,0,2,58,CAFA,GOMAP
B73v3,P,GRMZM2G426953,0.894736842105263,19,276,CAFA,GOMAP
B73v3,P,GRMZM2G138152,0.894736842105263,19,346,CAFA,GOMAP
